,parent,child,url,cat_id
303,语言学习,日语能力考,https://study.163.com/category/480000003126047,480000003126047
304,语言学习,日语教材,https://study.163.com/category/480000003132045,480000003132045
305,语言学习,韩语零基础,https://study.163.com/category/480000003131044,480000003131044
306,语言学习,韩语能力考,https://study.163.com/category/480000003134042,480000003134042
307,语言学习,韩语教材,https://study.163.com/category/480000003130061,480000003130061
308,语言学习,韩语口语,https://study.163.com/category/480000003130062,480000003130062
309,语言学习,法语零基础,https://study.163.com/category/480000003126049,480000003126049
310,语言学习,法语进阶,https://study.163.com/category/480000003127042,480000003127042
311,语言学习,德语,https://study.163.com/category/480000003123050,480000003123050
312,语言学习,俄语,https://study.163.com/category/480000003121041,480000003121041
313,语言学习,泰语,https://study.163.com/category/480000003119045,480000003119045
314,语言学习,其他语种,https://study.163.com/category/480000003121042,480000003121042
315,职业考试,计算机等级考试,https://study.163.com/category/400000001331002,400000001331002
316,职业考试,软考,https://study.163.com/category/400000001328002,400000001328002
317,职业考试,华为/思科认证,https://study.163.com/category/400000001331003,400000001331003
318,职业考试,一级消防,https://study.163.com/category/400000001324001,400000001324001
319,职业考试,一级建造师,https://study.163.com/category/480000003131070,480000003131070
320,职业考试,二级建造师,https://study.163.com/category/480000003125075,480000003125075
321,职业考试,PMP,https://study.163.com/category/400000001329001,400000001329001
322,职业考试,医师/药师,https://study.163.com/category/400000001326001,400000001326001
323,职业考试,康复医学,https://study.163.com/category/400000001328001,400000001328001
324,职业考试,金融考试,https://study.163.com/category/400000001370002,400000001370002
325,职业考试,财会考试,https://study.163.com/category/400000001372006,400000001372006
326,职业考试,CFA,https://study.163.com/category/400000001367005,400000001367005
331,职业考试,电子商务师,https://study.163.com/category/480000003435002,480000003435002
332,职业考试,新媒体运营师,https://study.163.com/category/480000003409005,480000003409005
333,职业考试,室内设计师考试,https://study.163.com/category/480000003436001,480000003436001
334,职业考试,人力资源,https://study.163.com/category/480000003411005,480000003411005
335,职业考试,更多考试,https://study.163.com/category/400000001325002,400000001325002
336,生活兴趣,摄影基础,https://study.163.com/category/480000003125071,480000003125071
337,生活兴趣,手机摄影摄像,https://study.163.com/category/480000003123068,480000003123068
338,生活兴趣,摄影后期,https://study.163.com/category/480000003135001,480000003135001
339,生活兴趣,绘画基础,https://study.163.com/category/480000003127046,480000003127046
340,生活兴趣,铅笔画,https://study.163.com/category/480000003129066,480000003129066
341,生活兴趣,水彩画,https://study.163.com/category/480000003134050,480000003134050
342,生活兴趣,油画,https://study.163.com/category/480000003120045,480000003120045
343,生活兴趣,水粉画,https://study.163.com/category/480000003132053,480000003132053
344,生活兴趣,更多手绘,https://study.163.com/category/480000003120046,480000003120046
345,生活兴趣,乐理基础,https://study.163.com/category/480000003126054,480000003126054
346,生活兴趣,声乐唱歌,https://study.163.com/category/480000003131050,480000003131050
347,生活兴趣,乐器学习,https://study.163.com/category/480000003129068,480000003129068
348,生活兴趣,编曲创作,https://study.163.com/category/480000003121048,480000003121048
349,生活兴趣,行书,https://study.163.com/category/480000003120047,480000003120047
350,生活兴趣,草书,https://study.163.com/category/480000003134052,480000003134052
351,生活兴趣,隶书,https://study.163.com/category/480000003126055,480000003126055
352,生活兴趣,楷书,https://study.163.com/category/480000003127047,480000003127047
353,生活兴趣,篆书,https://study.163.com/category/480000003125054,480000003125054
354,生活兴趣,理财基础,https://study.163.com/category/480000003123056,480000003123056
355,生活兴趣,保险,https://study.163.com/category/480000003123057,480000003123057
356,生活兴趣,基金,https://study.163.com/category/480000003128043,480000003128043
357,生活兴趣,股票,https://study.163.com/category/480000003131051,480000003131051
358,生活兴趣,更多产品,https://study.163.com/category/480000003134051,480000003134051
359,生活兴趣,资产配置,https://study.163.com/category/480000003132054,480000003132054
360,生活兴趣,考研,https://study.163.com/category/480000003120048,480000003120048
361,生活兴趣,高等学科,https://study.163.com/category/480000003127048,480000003127048
362,生活兴趣,婚恋心理,https://study.163.com/category/480000003121049,480000003121049
363,生活兴趣,心理知识,https://study.163.com/category/480000003129069,480000003129069
364,生活兴趣,思维记忆,https://study.163.com/category/480000003127049,480000003127049
365,生活兴趣,情绪管理,https://study.163.com/category/480000003124053,480000003124053
366,生活兴趣,居家生活,https://study.163.com/category/480000003131052,480000003131052
367,生活兴趣,手工DIY,https://study.163.com/category/480000003134053,480000003134053
368,生活兴趣,人文科普,https://study.163.com/category/480000003125055,480000003125055
369,生活兴趣,魔术,https://study.163.com/category/480000003130070,480000003130070
370,生活兴趣,游戏棋牌,https://study.163.com/category/480000003131053,480000003131053
371,生活兴趣,体育运动,https://study.163.com/category/480000003122047,480000003122047
372,生活兴趣,医疗养生,https://study.163.com/category/480000003120049,480000003120049
373,生活兴趣,两性健康,https://study.163.com/category/480000003126057,480000003126057
374,生活兴趣,健身,https://study.163.com/category/480000003131055,480000003131055
375,生活兴趣,瑜伽,https://study.163.com/category/480000003134054,480000003134054
376,生活兴趣,武术,https://study.163.com/category/480000003128044,480000003128044
377,生活兴趣,舞蹈,https://study.163.com/category/480000003121051,480000003121051
378,生活兴趣,家庭教育,https://study.163.com/category/480000003125058,480000003125058
379,生活兴趣,科学育儿,https://study.163.com/category/480000003132057,480000003132057
380,生活兴趣,科学孕产,https://study.163.com/category/480000003127053,480000003127053
381,生活兴趣,护理保健,https://study.163.com/category/480000003127052,480000003127052
382,生活兴趣,疾病重症,https://study.163.com/category/480000003134055,480000003134055
383,生活兴趣,综合素质,https://study.163.com/category/480000003127054,480000003127054
